,product_name,prices,processor brand,processor name,ram,graphic card,operating system
346,"Lenovo ThinkPad E15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) E15 Laptop  (15.6 inch, Black, 1.7 kg, With MS Office)","₹64,990",Intel,Core i5,8 GB,Intel Integrated UHD,Windows 10 Home
347,"HP OMEN 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/165 Hz) 15-en1037AX Gaming Laptop  (15.6 inch, Mica Silver, 2.37 Kg)","₹1,59,940",AMD,Ryzen 7 Octa Core,16 GB,NVIDIA GeForce RTX 3070,Windows 10 Home
348,"HP Pavilion x360 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dy0002TU Thin and Light Laptop  (14 inch, Natural Silver, 1.52 kg, With MS Office)","₹59,940",Intel,Core i3,8 GB,Intel Integrated UHD,Windows 10 Home
349,"DELL G5 15 SE Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/AMD Radeon RX 5600M/120 Hz) G5 5505 Gaming Laptop  (14.96 Inch, Silver, 2.5 kg)","₹76,140",AMD,Ryzen 5 Hexa Core,8 GB,AMD Radeon RX 5600M,Windows 10 Home
350,"DELL Vostro Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3400 Thin and Light Laptop  (14 inch, Black, 1.58 kg, With MS Office)","₹51,990",Intel,Core i5,8 GB,Intel Integrated Iris Xe,Windows 10 Home
351,"ASUS VivoBook 15 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X515JA-BR381T Thin and Light Laptop  (15.6 inch, Slate Grey, 1.80 kg)","₹34,990",Intel,Core i3,4 GB,Intel Integrated UHD,Windows 10 Home
352,"Lenovo Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Laptop  (15.6 inch, Platinum Grey, With MS Office)","₹37,990",Intel,Core i3,8 GB,Intel Integrated,Windows 11 Home
353,"HP 14s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s- DQ2535TU Thin and Light Laptop  (14 inch, Natural Silver, 1.46 KG, With MS Office)","₹57,990",Intel,Core i5,8 GB,Intel Integrated Iris Xe,Windows 10 Home
354,"Lenovo Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) Ideapad 3 15IML05 Laptop  (15.6 inch, Platinum Grey, With MS Office)","₹38,990",Intel,Core i3,8 GB,NA UHD GRAPHIC,Windows 11 Home
355,"DELL XPS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) XPS 9300 Thin and Light Laptop  (13.3 inch, Silver, 1.27 kg, With MS Office)","₹1,30,490",Intel,Core i5,8 GB,Intel Integrated UHD,Windows 10 Home
356,"HP Chromebook MediaTek Kompanio 500 - (4 GB/64 GB EMMC Storage/Chrome OS) 11A-NA0002MU Chromebook  (11.6 inch, Indigo Blue, 1.07 kg)","₹23,490",MediaTek,MediaTek Kompanio 500,4 GB,MediaTek Integrated,Chrome
